排名	ID	暱稱	等級	頭像	角色（稱號）	樓層	個人狀態	顏色
0	5ef2f03c1e11442fb13184a3	有紀 	70	yuuki24.s	有紀（絕劍）	24		black
1	5edcbccbff4f982ba00812d3	Die	70	blacktea	藍染的紅茶（紅茶）	199	真是的，一定又是K菸蟲搞的鬼 DC@Ki	black
2	5edcb8cce509b22bac0898de	Ulric	70	theYuuki.s	有紀（絕劍）	199	為什麼有紀還不去爬塔，她已經卡在24層一年了	black
3	5edcc40de878812ceb4f1407	倉鼠球	70	lisbeth	莉茲貝特（鍛造師）	199	刷勝場友切就好3Q	black
4	5edcb923ff4f982ba00807c5	閃耀突擊金屬簇蝗蟲二號	70	tenThousand	一萬（一萬）	199	友切｜多喝水	black
5	5edcb2d8e509b22bac0885e6	Jinnit	70	hina	天野陽菜（天氣之子）	199	｜13｜第一頁陽菜代表｜1700萬線	black
6	5ee4599d6291697a5bd87c3e	伊佐那杜	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	199	Qing工作快樂｜發呆中	black
7	5edcb0e1e509b22bac08817e	汁不到兔子	70	honda.strongest	本多忠勝（戰國最強）	199	連假	black
8	5ef2d963670dbf059dc19458	Kiritouo	70	honda.strongest	本多忠勝（戰國最強）	199	努力爬塔中 有隊友嘍｜新年快樂｜嘻嘻	black
9	5edcbd73ff4f982ba00814db	owlkery	70	honda.strongest	本多忠勝（戰國最強）	199	我到第一頁了  終於通關了	black
10	5ee284462ce79a5f2759d2c6	Qing	70	leafa2.s	莉法（風精靈）	199	伊佐那杜開工快樂｜上面怎麼少了一個人	black
11	5edd3c6347bd0432d499a92a	那個誰	70	honda.strongest	本多忠勝（戰國最強）	199	沒有什麼比決定晚餐吃什麼還要更加困難的事了	black
12	5f3113b4c4b1750873c2b26e	hearthcorn	70	leafa2.s	莉法（風精靈）	199	不要now	black
13	5edcc694e878812ceb4f1d44	安兹乌尔恭	70	godRecon.s	神（神）	199	 欢迎刷败	black
14	5edcca605478d62d6cf7e370	帥	70	honda.strongest	本多忠勝（戰國最強）	199	睡到飽真幸福	black
15	5edcb63bff4f982ba007fd5b	太陽的護身符	70	hina	天野陽菜（天氣之子）	199	我知道在我邁向死亡的那一天，你會走進我內心深處，與我並排躺下	black
16	5edcb147e509b22bac088248	スターバーストストリーム	70	aloSinon.s	ALO詩乃（貓妖）	100	ゆびゆび｜詩乃系列單人1～100F達成	black
17	5edcb91cff4f982ba00807af	Yuzukeki	70	aloSinon.s	ALO詩乃（貓妖）	199	Stellar Stellar｜太陽的護身符｜DC@玥妲	black
18	5edcd2f509a13b2d6092ed21	你在大聲什麼拉	70	tenThousand	一萬（一萬）	199	你看黑啥！卡打掐餒！請支持GIJOE加入國小課綱！	black
19	5edcba5ce509b22bac089ed8	母咪棄療斬	70	alice	愛麗絲（整合騎士）	199	20210620一九九層到達	black
20	5edcc23de878812ceb4f0dbb	無極	70	xmasAgil	兩隻麋鹿（聖誕麋鹿）	199	若是有個只殺哥布林的冒險者會是個怎樣的故事呢	black
21	5edcc536e7d7082cdf65bd20	小K	70	godRecon.s	神（神）	199	祭品：301536，朕可是黃金君王，715萬經驗線	black
22	5edcb08123815f2b14adb95f	XD	70	aloAsuna.s	ALO亞絲娜（水精靈）	199	不好耶	black
23	5edcb0b523815f2b14adb9af	BW	70	dagger2	帶毒的匕首（強大風精靈所持有的短刀）	199	4月23 二次199攻略完畢 同行雷根被送下去了	black
24	5edcbb54ff4f982ba0080f29	曾經最快的辣個男人	70	dagger	帶毒的匕首（無主短刀）	199	默默耍費	black
25	5edccd545478d62d6cf7eee4	Satanya	70	lisbeth	莉茲貝特（鍛造師）	199	好久沒蝦仁了｜我是好寶寶耶	black
26	5edcb0967ac4e62b084feda3	Niya	70	honda.strongest	本多忠勝（戰國最強）	199	櫂櫂死掉了 嗚嗚嗚嗚  DC@tio	black
27	5edcb884ff4f982ba0080584	赤羽和一	70	uwKirito2.s	Underworld桐人（黑衣劍士）	199	信じ続けて今日の日まで頑張った自分 遠く旅立つよ	black
28	5edf2b19f038151e5c3a6eba	啾啾卡布里拉	70	xmasKirito	聖誕桐人（聖誕快樂）	199	高歌離席	black
29	5ee05c58d944012de3861a18	很星爆嘛	70	honda.strongest	本多忠勝（戰國最強）	199	200層可能要等到下輩子才會出現	black
30	5edd34cfe9ef5d32c8b76a40	慢還要慢	70	starburst.s	桐人（雙刀劍士）	199	嗯？ DC@X	black
31	5edcb7eaff4f982ba0080377	月ノ美兎	70	honda.strongest	本多忠勝（戰國最強）	199	ぺこぺこぺこぺこ	black
32	5edcb00b23815f2b14adb8d7	否a	70	aizen	藍染惣右介（五番隊隊長）	199	懶懶｜屁眼	black
33	5ede4729315f05158bb321f0	雛森我來了	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	199	我是蝦仁飯	red
34	5edcc736e878812ceb4f1fc7	ZW	70	aloSinon.s	ALO詩乃（貓妖）	199	凍京necro！ 可以色色	black
35	5edcba6aff4f982ba0080c74	偽守夜皇帝	70	originalKirito.s	起源桐人（初始玩家）	199	原初的桐人 2022 3月齁 Dc 偽守夜皇帝	black
36	5f7d316b84efea7a804823ef	HClXGK	70	starburst.s	桐人（雙刀劍士）	199	2021年11月2日攻頂	black
37	5edd2c83e9ef5d32c8b75c23	樋口楓	70	xmasLisbeth	聖誕莉茲貝特（聖誕鍛造師）	199	みこみこみこみこ	black
38	5edcb09623815f2b14adb979	stellaceras	70	hitsugaya	日番谷冬獅郎（十番隊隊長）	199	最弱修行小白 反正這角有沒壓都差不多	black
39	5f0b121924b170065dd55a3c	Shhshsh	70	sinon.s	詩乃（冰之狙擊手）	199	123	black
40	5fe8a4f7cbca226ae25f4cae	HClXGK小號	70	starburst.s	桐人（雙刀劍士）	199	2021年11月14日攻頂	black
41	5edf041ff038151e5c39e5b1	Bokito	70	godRecon.s	神（神）	199	放置300萬｜nothing phases me	black
42	5edda32ce9ef5d32c8b7f06e	ermmm	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	199	昨日を守って 明日何になれる	black
43	5edcebef7ca001307b464344	藍染	70	aizen	藍染惣右介（五番隊隊長）	199	我這輩子只在乎能不能六點準時下班	black
44	5ee0c4b1f8696e2f50c03abf	完全沒有任何人	70	goldenRecon.s	黃金雷根（尊爵不凡的風精靈）	199	這難以自拔的沉醉 到底是深情或愚昧	black
45	5f0c1b87cd69394a5ea6ec3e	宇智波皮辣椒	70	honda.strongest	本多忠勝（戰國最強）	199	友切｜THE END＿232萬經驗線 想到才按竟然到了第二頁	black
46	5ededfe402821317e6f86db4	lunchu	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	199	24鐵三角 身分一定好	black
